costat,curcdq,datafmt,indfmt,consol,tic,datadate,gvkey,conm,actq,atq,dlttq,lctq,niq,revtq,seqq,mkvaltq,prccq
A,USD,STD,INDL,C,ABT,2005-03-31,001078,ABBOTT LABORATORIES,10351.1230,28857.2140,4697.8350,7367.9780,837.8880,5382.6790,14177.5480,,46.620000000000
A,USD,STD,INDL,C,ABT,2005-06-30,001078,ABBOTT LABORATORIES,9663.2490,27817.2130,4720.0730,6083.0310,877.0520,5473.8000,14381.9110,,49.010000000000
A,USD,STD,INDL,C,ABT,2005-09-30,001078,ABBOTT LABORATORIES,10988.6790,28830.9590,3049.1690,8758.5150,680.7090,5383.9950,14263.0310,,42.400000000000
A,USD,STD,INDL,C,ABT,2005-12-31,001078,ABBOTT LABORATORIES,11386.0280,29141.2030,4571.5040,7415.5140,976.4160,6047.3340,14415.2710,,39.430000000000
A,USD,STD,INDL,C,ABT,2006-03-31,001078,ABBOTT LABORATORIES,10608.8320,28531.5000,4151.7760,7160.5400,864.8830,5183.4590,14442.1450,64818.4360,42.470000000000
A,USD,STD,INDL,C,ABT,2006-06-30,001078,ABBOTT LABORATORIES,9897.7850,34061.2670,8174.6950,7694.1840,612.2440,5501.1240,15185.5060,66627.6633,43.610000000000
A,USD,STD,INDL,C,ABT,2006-09-30,001078,ABBOTT LABORATORIES,10070.5780,33299.8720,7508.1990,7434.0010,715.8420,5573.7700,15633.4010,74532.9958,48.560000000000
A,USD,STD,INDL,C,ABT,2006-12-31,001078,ABBOTT LABORATORIES,11281.8830,36178.1720,7009.6640,11951.1950,-476.2140,6217.9690,14054.1860,74879.1065,48.710000000000
A,USD,STD,INDL,C,ABT,2007-03-31,001078,ABBOTT LABORATORIES,11504.2170,36286.1170,6541.1690,12305.1060,697.5370,5945.5610,14319.1410,85952.0880,55.800000000000
A,USD,STD,INDL,C,ABT,2007-06-30,001078,ABBOTT LABORATORIES,12338.9090,37153.2220,6606.0050,12010.2170,988.7440,6370.6200,15334.1530,82759.0082,53.550000000000
A,USD,STD,INDL,C,ABT,2007-09-30,001078,ABBOTT LABORATORIES,12838.1960,37621.9090,6477.9190,12283.0590,717.0060,6376.7060,15608.1600,82857.5383,53.620000000000
A,USD,STD,INDL,C,ABT,2007-12-31,001078,ABBOTT LABORATORIES,14042.7330,39713.9240,9487.7890,9103.2780,1203.0270,7221.3510,17778.5400,87027.4465,56.150000000000
A,USD,STD,INDL,C,ABT,2008-03-31,001078,ABBOTT LABORATORIES,15111.7400,41177.5720,9042.8580,10770.4450,937.8670,6765.6030,17979.5440,85112.7744,55.150000000000
A,USD,STD,INDL,C,ABT,2008-06-30,001078,ABBOTT LABORATORIES,16957.1680,44073.7190,9574.5660,12016.5500,1322.0140,7314.0210,18958.8020,81655.7446,52.970000000000
A,USD,STD,INDL,C,ABT,2008-09-30,001078,ABBOTT LABORATORIES,15226.7330,41753.0120,9265.1630,9559.4390,1084.6120,7497.6600,19345.8350,89340.0916,57.580000000000
A,USD,STD,INDL,C,ABT,2008-12-31,001078,ABBOTT LABORATORIES,17042.5590,42419.2040,8713.3270,11591.9080,1536.2260,7950.2680,17479.5510,82853.3492,53.370000000000
A,USD,STD,INDL,C,ABT,2009-03-31,001078,ABBOTT LABORATORIES,18007.8940,45437.5970,11675.9530,11770.2710,1438.6370,6718.3680,17943.2990,73718.3943,47.700000000000
A,USD,STD,INDL,C,ABT,2009-06-30,001078,ABBOTT LABORATORIES,19628.3760,47630.0170,11371.5180,12042.3810,1288.1050,7494.8760,19879.1120,72719.7475,47.040000000000
A,USD,STD,INDL,C,ABT,2009-09-30,001078,ABBOTT LABORATORIES,21415.8420,49846.8200,11576.5560,12524.5070,1480.3670,7761.3360,21335.0550,76517.1289,49.470000000000
A,USD,STD,INDL,C,ABT,2009-12-31,001078,ABBOTT LABORATORIES,23313.8910,52416.6230,11266.2940,13049.4890,1538.7290,8790.1270,22855.6270,83747.5603,53.990000000000
A,USD,STD,INDL,C,ABT,2010-03-31,001078,ABBOTT LABORATORIES,17690.6780,53358.6220,10878.6490,15183.4850,1003.0150,7698.3540,20860.0990,81315.0042,52.680000000000
A,USD,STD,INDL,C,ABT,2010-06-30,001078,ABBOTT LABORATORIES,19915.3070,53381.4020,12612.6550,14689.2600,1291.6500,8826.0140,19911.7090,72229.6766,46.780000000000
A,USD,STD,INDL,C,ABT,2010-09-30,001078,ABBOTT LABORATORIES,19447.4200,57373.6200,12910.6810,15583.8710,890.6600,8674.5050,21403.9320,80753.4278,52.240000000000
A,USD,STD,INDL,C,ABT,2010-12-31,001078,ABBOTT LABORATORIES,22317.5290,59462.2660,12523.5170,17262.4340,1440.8470,9967.8480,22388.1350,74116.0034,47.910000000000
A,USD,STD,INDL,C,ABT,2011-03-31,001078,ABBOTT LABORATORIES,23647.1320,61651.3630,12530.2460,17225.1030,863.8180,9040.8500,24629.6500,76237.5812,49.050000000000
A,USD,STD,INDL,C,ABT,2011-06-30,001078,ABBOTT LABORATORIES,24132.1780,62004.2410,12627.7610,15839.9280,1942.7820,9616.2910,26378.8530,81907.0817,52.620000000000
A,USD,STD,INDL,C,ABT,2011-09-30,001078,ABBOTT LABORATORIES,23094.4160,59628.1760,13096.7670,15413.9610,303.1810,9816.6650,24603.8000,79665.6874,51.140000000000
A,USD,STD,INDL,C,ABT,2011-12-31,001078,ABBOTT LABORATORIES,23768.7740,60276.8930,12039.8220,15480.2280,1618.6680,10377.4530,24439.8330,88302.4112,56.230000000000
A,USD,STD,INDL,C,ABT,2012-03-31,001078,ABBOTT LABORATORIES,25602.1310,62415.8010,11861.5050,16785.9230,1242.1240,5283.6850,25453.6910,96433.1957,61.290000000000
A,USD,STD,INDL,C,ABT,2012-06-30,001078,ABBOTT LABORATORIES,26257.4920,61859.7900,12004.0920,17120.4670,1724.6120,5313.2970,24486.9600,101174.9630,64.470000000000
A,USD,STD,INDL,C,ABT,2012-09-30,001078,ABBOTT LABORATORIES,27264.2440,63257.7380,12054.6400,16285.9780,1942.8030,5264.7870,27014.1750,108370.5981,68.560000000000
A,USD,STD,INDL,C,ABT,2012-12-31,001078,ABBOTT LABORATORIES,31322.5830,67234.9440,18085.3020,13280.1760,1053.4610,5632.2310,26720.9610,103271.6885,65.500000000000
A,USD,STD,INDL,C,ABT,2013-03-31,001078,ABBOTT LABORATORIES,19096.8680,42686.6130,3466.5760,10406.3260,544.6610,5377.8950,22588.1860,55059.1118,35.320000000000
A,USD,STD,INDL,C,ABT,2013-06-30,001078,ABBOTT LABORATORIES,19831.1240,42903.3460,3410.7590,10919.6140,476.3390,4440.1050,22336.0640,54207.8800,34.880000000000
A,USD,STD,INDL,C,ABT,2013-09-30,001078,ABBOTT LABORATORIES,19748.9490,44132.4770,3403.0690,11331.6650,966.0000,4825.0000,23696.2370,51317.9133,33.190000000000
A,USD,STD,INDL,C,ABT,2013-12-31,001078,ABBOTT LABORATORIES,19247.0000,42953.0000,3388.0000,9507.0000,589.0000,5014.0000,25171.0000,59338.5963,38.330000000000
A,USD,STD,INDL,C,ABT,2014-03-31,001078,ABBOTT LABORATORIES,17931.0000,41662.0000,3387.0000,10186.0000,375.0000,4755.0000,23390.0000,57839.6709,38.510000000000
A,USD,STD,INDL,C,ABT,2014-06-30,001078,ABBOTT LABORATORIES,18258.0000,41475.0000,3403.0000,9853.0000,465.0000,5057.0000,23602.0000,61501.2891,40.900000000000
A,USD,STD,INDL,C,ABT,2014-09-30,001078,ABBOTT LABORATORIES,16464.0000,42514.0000,3719.0000,10823.0000,537.0000,5079.0000,22888.0000,62625.8477,41.590000000000
A,USD,STD,INDL,C,ABT,2014-12-31,001078,ABBOTT LABORATORIES,15261.0000,41275.0000,3408.0000,10532.0000,907.0000,5356.0000,21526.0000,67891.7357,45.020000000000
A,USD,STD,INDL,C,ABT,2015-03-31,001078,ABBOTT LABORATORIES,19985.0000,43095.0000,5931.0000,9206.0000,2292.0000,4897.0000,21874.0000,68974.1118,46.330000000000
A,USD,STD,INDL,C,ABT,2015-06-30,001078,ABBOTT LABORATORIES,21131.0000,44125.0000,5862.0000,9185.0000,784.0000,5170.0000,23008.0000,73150.8443,49.080000000000
A,USD,STD,INDL,C,ABT,2015-09-30,001078,ABBOTT LABORATORIES,15894.0000,41725.0000,5798.0000,8755.0000,580.0000,5150.0000,21111.0000,59996.9784,40.220000000000
A,USD,STD,INDL,C,ABT,2015-12-31,001078,ABBOTT LABORATORIES,14155.0000,41247.0000,5871.0000,9186.0000,767.0000,5188.0000,21211.0000,66137.3852,44.910000000000
A,USD,STD,INDL,C,ABT,2016-03-31,001078,ABBOTT LABORATORIES,12406.0000,39637.0000,5977.0000,8393.0000,316.0000,4885.0000,20722.0000,61454.6282,41.830000000000
A,USD,STD,INDL,C,ABT,2016-06-30,001078,ABBOTT LABORATORIES,12988.0000,39831.0000,6016.0000,8673.0000,615.0000,5333.0000,20675.0000,57785.5035,39.310000000000
A,USD,STD,INDL,C,ABT,2016-09-30,001078,ABBOTT LABORATORIES,12978.0000,39497.0000,5975.0000,8321.0000,-329.0000,5302.0000,20776.0000,62263.9899,42.290000000000
A,USD,STD,INDL,C,ABT,2016-12-31,001078,ABBOTT LABORATORIES,26776.0000,52666.0000,20681.0000,6660.0000,798.0000,5333.0000,20538.0000,56572.8983,38.410000000000
A,USD,STD,INDL,C,ABT,2017-03-31,001078,ABBOTT LABORATORIES,19329.0000,70887.0000,23764.0000,6646.0000,419.0000,6335.0000,31362.0000,77063.4295,44.410000000000
A,USD,STD,INDL,C,ABT,2017-06-30,001078,ABBOTT LABORATORIES,19983.0000,71151.0000,23810.0000,6803.0000,283.0000,6637.0000,31602.0000,84457.1042,48.610000000000
A,USD,STD,INDL,C,ABT,2017-09-30,001078,ABBOTT LABORATORIES,21377.0000,72248.0000,23310.0000,7935.0000,603.0000,6829.0000,32032.0000,92878.4694,53.360000000000
A,USD,STD,INDL,C,ABT,2017-12-31,001078,ABBOTT LABORATORIES,20147.0000,76250.0000,27210.0000,8912.0000,-828.0000,7589.0000,30897.0000,99507.3661,57.070000000000
A,USD,STD,INDL,C,ABT,2018-03-31,001078,ABBOTT LABORATORIES,14964.0000,70908.0000,21154.0000,9010.0000,418.0000,7390.0000,31399.0000,105051.0250,59.920000000000
A,USD,STD,INDL,C,ABT,2018-06-30,001078,ABBOTT LABORATORIES,14122.0000,68415.0000,19823.0000,8951.0000,733.0000,7767.0000,30577.0000,106995.9158,60.990000000000
A,USD,STD,INDL,C,ABT,2018-09-30,001078,ABBOTT LABORATORIES,18196.0000,71637.0000,19284.0000,12776.0000,563.0000,7656.0000,30705.0000,128844.5889,73.360000000000
A,USD,STD,INDL,C,ABT,2018-12-31,001078,ABBOTT LABORATORIES,14632.0000,67173.0000,19359.0000,9012.0000,654.0000,7765.0000,30524.0000,126983.9223,72.330000000000
A,USD,STD,INDL,C,ABT,2019-03-31,001078,ABBOTT LABORATORIES,14409.0000,67610.0000,19500.0000,9113.0000,672.0000,7535.0000,30925.0000,141028.6291,79.940000000000
A,USD,STD,INDL,C,ABT,2019-06-30,001078,ABBOTT LABORATORIES,15195.0000,68427.0000,19652.0000,9062.0000,1006.0000,7979.0000,31686.0000,148638.1718,84.100000000000
A,USD,STD,INDL,C,ABT,2019-09-30,001078,ABBOTT LABORATORIES,16119.0000,68539.0000,18341.0000,10491.0000,960.0000,8076.0000,31817.0000,147966.7135,83.670000000000
A,USD,STD,INDL,C,ABT,2019-12-31,001078,ABBOTT LABORATORIES,15667.0000,67887.0000,17416.0000,10863.0000,1049.0000,8314.0000,31088.0000,153091.0106,86.860000000000
A,USD,STD,INDL,C,ABT,2020-03-31,001078,ABBOTT LABORATORIES,15498.0000,66777.0000,16804.0000,10808.0000,564.0000,7726.0000,30218.0000,139579.5590,78.910000000000
A,USD,STD,INDL,C,ABT,2020-06-30,001078,ABBOTT LABORATORIES,17221.0000,68776.0000,18184.0000,10959.0000,537.0000,7328.0000,30578.0000,161879.5579,91.430000000000
A,USD,STD,INDL,C,ABT,2020-09-30,001078,ABBOTT LABORATORIES,17390.0000,69043.0000,18349.0000,10257.0000,1232.0000,8853.0000,31386.0000,192886.1565,108.830000000000
A,USD,STD,INDL,C,ABT,2020-12-31,001078,ABBOTT LABORATORIES,20441.0000,72548.0000,19429.0000,11907.0000,2162.0000,10701.0000,32784.0000,193931.9727,109.490000000000
A,USD,STD,INDL,C,ABT,2021-03-31,001078,ABBOTT LABORATORIES,21817.0000,72785.0000,17489.0000,12462.0000,1793.0000,10456.0000,33562.0000,212934.1088,119.840000000000
A,USD,STD,INDL,C,ABT,2021-06-30,001078,ABBOTT LABORATORIES,22627.0000,73269.0000,17547.0000,12614.0000,1189.0000,10223.0000,33800.0000,205522.6748,115.930000000000
A,USD,STD,INDL,C,ABT,2021-09-30,001078,ABBOTT LABORATORIES,23492.0000,73795.0000,17446.0000,12867.0000,2100.0000,10928.0000,34422.0000,208887.7433,118.130000000000
A,USD,STD,INDL,C,ABT,2021-12-31,001078,ABBOTT LABORATORIES,24239.0000,75196.0000,18252.0000,13105.0000,1989.0000,11468.0000,35802.0000,248276.9007,140.740000000000
A,USD,STD,INDL,C,ABT,2022-03-31,001078,ABBOTT LABORATORIES,23429.0000,74007.0000,17086.0000,12647.0000,2447.0000,11895.0000,35399.0000,207241.4951,118.360000000000
A,USD,STD,INDL,C,ABT,2022-06-30,001078,ABBOTT LABORATORIES,24956.0000,74202.0000,16318.0000,12392.0000,2018.0000,11257.0000,36490.0000,190270.0530,108.650000000000
A,USD,STD,INDL,C,ABT,2022-09-30,001078,ABBOTT LABORATORIES,24845.0000,72801.0000,15297.0000,13365.0000,1435.0000,10410.0000,35675.0000,168708.2202,96.760000000000
A,USD,STD,INDL,C,ABT,2022-12-31,001078,ABBOTT LABORATORIES,25224.0000,74438.0000,15465.0000,15489.0000,1033.0000,10091.0000,36686.0000,190792.5131,109.790000000000
A,USD,STD,INDL,C,AMD,2005-03-31,001161,ADVANCED MICRO DEVICES,3127.4740,7821.7740,1622.0460,1903.4740,-17.4230,1226.6280,2934.6970,,16.120000000000
A,USD,STD,INDL,C,AMD,2005-06-30,001161,ADVANCED MICRO DEVICES,3248.0610,7772.5620,1591.5840,1997.6840,11.3190,1259.9180,2846.6090,,17.340000000000
A,USD,STD,INDL,C,AMD,2005-09-30,001161,ADVANCED MICRO DEVICES,3462.4030,8159.9560,1708.8720,2212.3550,76.0000,1522.7550,2974.2450,,25.200000000000
A,USD,STD,INDL,C,AMD,2005-12-31,001161,ADVANCED MICRO DEVICES,3558.8360,7287.7790,1327.0650,1821.9610,95.5870,1838.2760,3351.8370,,30.600000000000
A,USD,STD,INDL,C,AMD,2006-03-31,001161,ADVANCED MICRO DEVICES,4216.8530,8052.0450,615.8740,1948.5240,184.5240,1332.1580,4709.9210,16029.2456,33.160000000000
A,USD,STD,INDL,C,AMD,2006-06-30,001161,ADVANCED MICRO DEVICES,3905.5320,8061.8950,647.1090,1754.4890,88.8470,1216.3670,4852.5900,11857.4729,24.420000000000
A,USD,STD,INDL,C,AMD,2006-09-30,001161,ADVANCED MICRO DEVICES,3911.8610,8379.2440,644.3570,1892.2110,134.4550,1327.6220,5012.4950,12104.9320,24.850000000000
A,USD,STD,INDL,C,AMD,2006-12-31,001161,ADVANCED MICRO DEVICES,3963.0000,13147.0000,3672.0000,2852.0000,-573.8260,1772.8530,5785.0000,11131.4500,20.350000000000
A,USD,STD,INDL,C,AMD,2007-03-31,001161,ADVANCED MICRO DEVICES,3187.0000,12712.0000,3659.0000,2911.0000,-611.0000,1130.0000,5205.0000,7183.0000,13.060000000000
A,USD,STD,INDL,C,AMD,2007-06-30,001161,ADVANCED MICRO DEVICES,3598.0000,13224.0000,5318.0000,2476.0000,-600.0000,1309.0000,4472.0000,7907.9000,14.300000000000
A,USD,STD,INDL,C,AMD,2007-09-30,001161,ADVANCED MICRO DEVICES,3543.0000,12934.0000,5117.0000,2702.0000,-396.0000,1682.0000,4125.0000,7326.0000,13.200000000000
A,USD,STD,INDL,C,AMD,2007-12-31,001161,ADVANCED MICRO DEVICES,3816.0000,11550.0000,5031.0000,2625.0000,-1772.0000,1737.0000,2990.0000,4545.0000,7.500000000000
A,USD,STD,INDL,C,AMD,2008-03-31,001161,ADVANCED MICRO DEVICES,3513.0000,11208.0000,5025.0000,2738.0000,-364.0000,1487.0000,2637.0000,3569.3400,5.890000000000
A,USD,STD,INDL,C,AMD,2008-06-30,001161,ADVANCED MICRO DEVICES,3431.0000,9784.0000,4955.0000,2468.0000,-1195.0000,1362.0000,1474.0000,3538.8100,5.830000000000
A,USD,STD,INDL,C,AMD,2008-09-30,001161,ADVANCED MICRO DEVICES,3297.0000,9441.0000,4874.0000,2392.0000,-134.0000,1797.0000,1339.0000,3197.2500,5.250000000000
A,USD,STD,INDL,C,AMD,2008-12-31,001161,ADVANCED MICRO DEVICES,2379.0000,7675.0000,4702.0000,2226.0000,-1436.0000,1162.0000,-82.0000,1315.4400,2.160000000000
A,USD,STD,INDL,C,AMD,2009-03-31,001161,ADVANCED MICRO DEVICES,3971.0000,9052.0000,5282.0000,2079.0000,-408.0000,1177.0000,-163.0000,2034.3500,3.050000000000
A,USD,STD,INDL,C,AMD,2009-06-30,001161,ADVANCED MICRO DEVICES,3713.0000,8683.0000,5243.0000,2022.0000,-310.0000,1184.0000,-465.0000,2585.1600,3.870000000000
A,USD,STD,INDL,C,AMD,2009-09-30,001161,ADVANCED MICRO DEVICES,3918.0000,8747.0000,5275.0000,2076.0000,-106.0000,1396.0000,-569.0000,3792.2000,5.660000000000
A,USD,STD,INDL,C,AMD,2009-12-31,001161,ADVANCED MICRO DEVICES,4275.0000,9078.0000,4252.0000,2210.0000,1200.0000,1646.0000,648.0000,6495.2800,9.680000000000
A,USD,STD,INDL,C,AMD,2010-03-31,001161,ADVANCED MICRO DEVICES,3331.0000,5232.0000,2601.0000,1645.0000,257.0000,1574.0000,796.0000,6229.4400,9.270000000000
A,USD,STD,INDL,C,AMD,2010-06-30,001161,ADVANCED MICRO DEVICES,3313.0000,4955.0000,2418.0000,1630.0000,-43.0000,1653.0000,752.0000,4933.6800,7.320000000000
A,USD,STD,INDL,C,AMD,2010-09-30,001161,ADVANCED MICRO DEVICES,3212.0000,4595.0000,2185.0000,1665.0000,-118.0000,1618.0000,614.0000,4841.9100,7.110000000000
A,USD,STD,INDL,C,AMD,2010-12-31,001161,ADVANCED MICRO DEVICES,3594.0000,4964.0000,2188.0000,1674.0000,375.0000,1649.0000,1013.0000,5586.9400,8.180000000000
A,USD,STD,INDL,C,AMD,2011-03-31,001161,ADVANCED MICRO DEVICES,3411.0000,5209.0000,2192.0000,1375.0000,510.0000,1613.0000,1558.0000,5908.2000,8.600000000000
A,USD,STD,INDL,C,AMD,2011-06-30,001161,ADVANCED MICRO DEVICES,3438.0000,5224.0000,2195.0000,1312.0000,61.0000,1574.0000,1641.0000,4830.0900,6.990000000000
A,USD,STD,INDL,C,AMD,2011-09-30,001161,ADVANCED MICRO DEVICES,3412.0000,5236.0000,1571.0000,1855.0000,97.0000,1690.0000,1744.0000,3540.7600,5.080000000000
