Ticker,Date,Year,Quarter,Positive_Ratio,Negative_Ratio,Uncertainty_Ratio,Net_Sentiment
XOM,2005-10-31 00:40:28,2005,3,0.0281,0.019,0.0118,0.0091
AZN,2005-11-09 21:51:12,2005,3,0.0205,0.0197,0.0158,0.0008000000000000021
CMCSA,2005-11-16 15:11:37,2005,3,0.0316,0.0097,0.0102,0.021900000000000003
QCOM,2005-11-16 18:41:14,2005,4,0.0266,0.0168,0.0201,0.0098
CRM,2005-11-24 06:56:51,2006,3,0.0337,0.0104,0.0197,0.0233
ORCL,2005-12-19 19:08:52,2006,2,0.0295,0.0075,0.0132,0.022
ADBE,2005-12-20 17:54:08,2005,4,0.0294,0.0112,0.0139,0.0182
IBM,2006-01-18 09:01:51,2005,4,0.0359,0.0235,0.0082,0.012400000000000001
EBAY,2006-01-19 09:25:00,2005,4,0.0393,0.0106,0.0066,0.028700000000000003
AAPL,2006-01-19 13:53:17,2006,1,0.0247,0.0241,0.0122,0.0005999999999999998
TXN,2006-01-24 16:12:21,2005,4,0.0263,0.0285,0.0158,-0.0022000000000000006
NFLX,2006-01-25 12:16:04,2005,4,0.0297,0.024,0.0161,0.0057
MCD,2006-01-26 16:45:53,2005,4,0.0435,0.0177,0.0152,0.025799999999999997
MSFT,2006-01-27 06:09:35,2006,2,0.0359,0.0199,0.0077,0.016
QCOM,2006-01-27 11:45:31,2006,1,0.0321,0.0169,0.0169,0.015199999999999998
SAP,2006-01-27 11:52:51,2005,4,0.0338,0.0181,0.0171,0.015699999999999995
PG,2006-01-28 08:34:44,2006,2,0.0416,0.018,0.0059,0.0236
TSM,2006-01-28 08:38:13,2005,4,0.026,0.0302,0.0156,-0.004200000000000002
XOM,2006-01-31 14:15:56,2005,4,0.0291,0.0229,0.0122,0.006200000000000001
GOOG,2006-02-01 05:02:07,2005,4,0.0416,0.0147,0.0082,0.0269
SBUX,2006-02-02 19:03:49,2006,1,0.0448,0.0129,0.009,0.0319
AMZN,2006-02-03 13:17:49,2005,4,0.0276,0.0205,0.0145,0.007099999999999999
CMCSA,2006-02-03 18:26:14,2005,4,0.0226,0.017,0.0113,0.005599999999999997
CVS,2006-02-06 15:53:37,2005,4,0.0281,0.021,0.0115,0.007099999999999999
AZN,2006-02-06 16:09:53,2005,4,0.0225,0.0249,0.0158,-0.0023999999999999994
DIS,2006-02-09 13:25:48,2006,1,0.0427,0.0209,0.0129,0.021800000000000003
BKNG,2006-02-17 16:43:51,2005,4,0.0198,0.0215,0.0181,-0.0016999999999999967
CRM,2006-02-23 13:26:21,2006,4,0.0307,0.0146,0.0163,0.016100000000000003
ORCL,2006-03-21 04:23:24,2006,3,0.0287,0.0195,0.0102,0.0092
ADBE,2006-03-23 12:38:02,2006,1,0.0327,0.0198,0.0114,0.012899999999999998
AMD,2006-04-13 00:37:34,2006,1,0.0319,0.0226,0.0167,0.0093
AMGN,2006-04-19 10:37:37,2006,1,0.022,0.0284,0.0142,-0.006400000000000003
TXN,2006-04-19 10:49:49,2006,1,0.0264,0.0219,0.0139,0.0045000000000000005
IBM,2006-04-19 16:18:07,2006,1,0.0387,0.0187,0.0074,0.019999999999999997
EBAY,2006-04-19 23:08:20,2006,1,0.0422,0.0161,0.0111,0.0261
QCOM,2006-04-20 04:09:06,2006,2,0.0295,0.0185,0.0174,0.011
AAPL,2006-04-20 11:01:29,2006,2,0.0274,0.0246,0.0102,0.0028000000000000004
AZN,2006-04-20 20:31:05,2006,1,0.0242,0.0259,0.0173,-0.0017000000000000001
GOOG,2006-04-21 01:01:13,2006,1,0.0408,0.0167,0.0135,0.024100000000000003
SAP,2006-04-21 18:14:17,2006,1,0.0267,0.0159,0.0108,0.0108
MCD,2006-04-22 23:34:20,2006,1,0.0422,0.0201,0.0102,0.0221
NFLX,2006-04-25 01:58:08,2006,1,0.0305,0.0199,0.0177,0.010599999999999998
AMZN,2006-04-25 22:56:16,2006,1,0.0253,0.0247,0.0143,0.0005999999999999998
BA,2006-04-26 23:29:23,2006,1,0.0407,0.0218,0.0163,0.0189
CMCSA,2006-04-27 15:46:40,2006,1,0.0314,0.0189,0.0075,0.012499999999999997
XOM,2006-04-27 18:32:03,2006,1,0.0305,0.0203,0.0086,0.0102
MSFT,2006-04-28 00:05:25,2006,3,0.0279,0.014,0.0108,0.013900000000000001
TSM,2006-04-29 10:32:38,2006,1,0.0166,0.0276,0.0198,-0.011
PG,2006-05-03 18:08:59,2006,3,0.0356,0.0163,0.0079,0.0193
BKNG,2006-05-04 00:55:30,2006,1,0.0342,0.0208,0.0222,0.013400000000000002
SBUX,2006-05-04 02:27:18,2006,2,0.0455,0.0134,0.0074,0.0321
CVS,2006-05-04 15:45:32,2006,1,0.036,0.0232,0.0099,0.012799999999999999
DIS,2006-05-10 03:46:21,2006,2,0.0523,0.0202,0.0133,0.032100000000000004
CRM,2006-05-18 03:50:18,2007,1,0.0298,0.0225,0.0161,0.007300000000000001
ADBE,2006-06-16 03:50:42,2006,2,0.0378,0.0234,0.0118,0.0144
ORCL,2006-06-23 01:47:09,2006,4,0.0328,0.0209,0.0123,0.011900000000000004
IBM,2006-07-18 23:56:42,2006,2,0.0358,0.0241,0.0113,0.011699999999999999
EBAY,2006-07-20 00:38:03,2006,2,0.0373,0.0173,0.0118,0.02
AAPL,2006-07-20 00:49:46,2006,3,0.0326,0.0244,0.0094,0.008199999999999995
QCOM,2006-07-20 05:46:11,2006,3,0.0344,0.0188,0.0148,0.0156
AZN,2006-07-20 18:04:33,2006,2,0.0265,0.0237,0.0207,0.0028000000000000004
SAP,2006-07-20 19:01:33,2006,2,0.028,0.0174,0.0102,0.010600000000000002
GOOG,2006-07-21 00:12:07,2006,2,0.0446,0.019,0.0097,0.0256
MSFT,2006-07-21 01:06:43,2006,4,0.032,0.0151,0.0101,0.0169
AMD,2006-07-21 04:08:07,2006,2,0.0334,0.0233,0.0162,0.010099999999999998
AMGN,2006-07-21 05:56:16,2006,2,0.0256,0.0279,0.0102,-0.0023
NFLX,2006-07-24 23:57:13,2006,2,0.0309,0.0226,0.0099,0.008300000000000002
TXN,2006-07-25 03:43:27,2006,2,0.0232,0.0206,0.02,0.002599999999999998
MCD,2006-07-25 20:11:30,2006,2,0.0531,0.0227,0.0093,0.0304
AMZN,2006-07-25 23:41:40,2006,2,0.0286,0.0232,0.0114,0.005400000000000002
BA,2006-07-26 20:27:13,2006,2,0.0281,0.0284,0.0148,-0.00030000000000000165
CMCSA,2006-07-27 16:18:40,2006,2,0.0284,0.017,0.0107,0.0114
