Model,ticker,evtdate,cret,car,bhar,nrets_est
Market Model,ORCL,2012-02-01,0.0073426573,-0.008807648,-0.009197268,100
Market Model,ORCL,2013-11-04,2.220446E-16,-0.002062805,-0.002090709,100
Market Model,ORCL,2011-10-07,0.0515800196,-0.015864967,-0.015661452,100
Market Model,ORCL,2020-12-11,0.0172442659,0.0184524505,0.0184127318,100
Market Model,ORCL,2021-03-11,-0.075440529,-0.093143446,-0.092483828,100
Market Model,ORCL,2020-09-11,0.0440737489,0.0423200745,0.0425538798,100
Market Model,ORCL,2012-04-12,0.0052910053,-0.003787482,-0.003808761,100
Market Model,ORCL,2019-09-12,-0.031007752,-0.04324758,-0.043834244,100
Market Model,ORCL,2019-12-13,-0.041200497,-0.059425232,-0.059295615,100
Market Model,ORCL,2020-03-13,-0.044722719,0.1201057156,0.0967758987,100
Market Model,ORCL,2011-10-13,0.0297445845,-0.009263055,-0.009370946,100
Market Model,ORCL,2018-11-14,0.0286468915,0.0268671045,0.0265838422,100
Market Model,ORCL,2017-12-15,-0.046753247,-0.058184831,-0.057856344,100
Market Model,ORCL,2019-03-15,0.0075386355,-0.001912331,-0.001955177,100
Market Model,ORCL,2017-09-15,-0.084659091,-0.092657267,-0.092012293,100
Market Model,ORCL,2016-12-16,-0.048434442,-0.050900223,-0.050646796,100
Market Model,ORCL,2016-03-16,0.0493540052,0.039627509,0.040060195,100
Market Model,ORCL,2017-03-16,0.0670717457,0.063365479,0.0636591843,100
Market Model,ORCL,2017-11-16,-0.005284553,-0.011482888,-0.011503796,100
Market Model,ORCL,2009-09-16,-0.052816901,-0.070873007,-0.070139403,100
Market Model,ORCL,2016-09-16,-0.025341615,-0.032641634,-0.033582786,100
Market Model,ORCL,2010-12-17,0.0388652017,0.0260515433,0.025933701,100
Market Model,ORCL,2015-12-17,-0.048678356,-0.029509493,-0.029757928,100
Market Model,ORCL,2016-06-17,0.0335587929,0.0246062882,0.0247954917,100
Market Model,ORCL,2020-06-17,0.0082629108,-0.009125071,-0.011899513,100
Market Model,ORCL,2015-03-17,0.0412930628,0.0162618482,0.0161668683,100
Market Model,ORCL,2015-09-17,-0.042379574,-0.029248682,-0.029094434,100
Market Model,ORCL,2009-12-18,0.0566608997,0.0537985585,0.0534261528,100
Market Model,ORCL,2014-12-18,0.1321683485,0.0878548435,0.0903676149,100
Market Model,ORCL,2018-12-18,-0.003218884,0.0311560404,0.030608945,100
Market Model,ORCL,2015-06-18,-0.068324373,-0.078985909,-0.078091083,100
Market Model,ORCL,2018-09-18,0.0036548223,0.0073721783,0.0073791383,100
Market Model,ORCL,2005-12-19,-0.042868277,-0.035389835,-0.034958074,100
Market Model,ORCL,2006-12-19,-0.03280543,-0.036292023,-0.036878057,100
Market Model,ORCL,2008-12-19,0.0465949821,0.0803358522,0.0787166886,100
Market Model,ORCL,2012-12-19,0.0501175743,0.032921187,0.0333586956,100
Market Model,ORCL,2013-12-19,0.0814748736,0.0642601425,0.065331737,100
Market Model,ORCL,2012-06-19,0.0285198556,0.0225092098,0.0220769037,100
Market Model,ORCL,2009-03-19,0.1103896104,0.1140851248,0.1152443426,100
Market Model,ORCL,2014-03-19,0.0039246468,-0.004862905,-0.004999679,100
Market Model,ORCL,2008-09-19,0.091160221,0.0346645879,0.0370795892,100
Market Model,ORCL,2013-09-19,0.023752255,0.0257131301,0.0258893589,100
Market Model,ORCL,2014-09-19,-0.0379193,-0.030186655,-0.030377805,100
Market Model,ORCL,2007-12-20,0.0687058824,0.0409112968,0.040350405,100
Market Model,ORCL,2013-06-20,-0.123982558,-0.081459546,-0.07848753,100
Market Model,ORCL,2014-06-20,-0.039943938,-0.045936343,-0.045987451,100
Market Model,ORCL,2018-06-20,-0.073516767,-0.06112064,-0.06126453,100
Market Model,ORCL,2019-06-20,0.0608695652,0.051807431,0.0502744882,100
Market Model,ORCL,2013-03-20,-0.103773585,-0.102809268,-0.102027757,100
Market Model,ORCL,2018-03-20,-0.100440023,-0.091708595,-0.091075056,100
Market Model,ORCL,2006-09-20,0.1126153846,0.1096196631,0.1096875846,100
Market Model,ORCL,2012-09-20,-0.016507648,-0.018549148,-0.018583439,100
Market Model,ORCL,2011-12-21,-0.102219116,-0.150606557,-0.153082355,100
Market Model,ORCL,2006-03-21,0.0286764706,0.031567255,0.0315613219,100
Market Model,ORCL,2007-03-21,0.0762514552,0.0404339613,0.0419727849,100
Market Model,ORCL,2012-03-21,-0.03797043,-0.020395768,-0.020435307,100
Market Model,ORCL,2007-09-21,0.0455854127,0.0531440345,0.0531691139,100
Market Model,ORCL,2011-09-21,-0.023432116,0.0829150566,0.0781733146,100
Market Model,ORCL,2017-06-22,0.1114746946,0.1061352837,0.1083064194,100
Market Model,ORCL,2013-08-23,0.0012383901,-0.005243527,-0.005566806,100
Market Model,ORCL,2006-06-23,0.0096352374,0.009596853,0.0086839885,100
Market Model,ORCL,2009-06-24,0.083124687,0.0527817213,0.0533480231,100
Market Model,ORCL,2011-06-24,-0.019254658,-0.014632981,-0.015245461,100
Market Model,ORCL,2010-06-25,-0.010141093,0.0038282066,0.0035075628,100
Market Model,ORCL,2011-03-25,0.0364533588,0.0234384508,0.0236646837,100
Market Model,ORCL,2012-04-26,0.0191704427,-0.003929306,-0.00395191,100
Market Model,ORCL,2008-06-26,-0.0422852,-0.016671693,-0.017015451,100
Market Model,ORCL,2010-03-26,-0.007375776,-0.010939819,-0.011066457,100
Market Model,ORCL,2007-06-27,0.0189938398,0.0137668841,0.0134508702,100
Market Model,ORCL,2008-03-27,-0.081119545,-0.05045105,-0.050052446,100
Market Model,MSFT,2016-12-01,-0.030119496,-0.025780542,-0.025569885,100
Market Model,MSFT,2018-02-01,-0.01035152,0.0184448692,0.0178611832,100
Market Model,MSFT,2015-12-02,-0.00275989,0.0171582259,0.0169956685,100
Market Model,MSFT,2020-12-02,0.0007941328,-0.012611055,-0.012714183,100
Market Model,MSFT,2014-03-03,0.0145272055,0.0011044894,0.0009739063,100
Market Model,MSFT,2013-09-03,-0.070193741,-0.08288802,-0.081629713,100
Market Model,MSFT,2013-12-04,-0.011703511,-0.002566809,-0.00295809,100
Market Model,MSFT,2014-12-04,-0.000825423,-0.007888745,-0.0080939,100
Market Model,MSFT,2018-12-04,-0.015330508,0.0172154382,0.0174403428,100
Market Model,MSFT,2019-12-04,0.0025409562,-0.000462076,-0.000408164,100
Market Model,MSFT,2019-06-04,0.0173835705,-0.019454317,-0.02052731,100
Market Model,MSFT,2013-09-04,-0.064820359,-0.08265187,-0.081846943,100
Market Model,MSFT,2014-12-05,-0.008007488,-0.007199982,-0.007430584,100
Market Model,MSFT,2017-12-05,-0.017564681,-0.00929952,-0.010012422,100
Market Model,MSFT,2018-12-06,-0.064858596,0.0134283359,0.0127000158,100
Market Model,MSFT,2018-09-06,-0.031331125,-0.020127353,-0.020102379,100
Market Model,MSFT,2016-12-07,0.0131185653,-0.013220606,-0.013642691,100
Market Model,MSFT,2008-01-08,0.0017452007,0.0065205666,0.0056573631,100
Market Model,MSFT,2015-09-09,0.0159586951,-0.004445027,-0.004598556,100
Market Model,MSFT,2014-09-10,0.0114052077,0.0111531697,0.011230242,100
Market Model,MSFT,2011-05-11,-0.019744483,-0.02162725,-0.021436326,100
Market Model,MSFT,2014-11-12,0.014726938,0.0109998649,0.0109578348,100
Market Model,MSFT,2016-06-13,-0.034676482,-0.012479756,-0.012372167,100
Market Model,MSFT,2015-03-13,-0.010004764,-0.029664019,-0.029952057,100
Market Model,MSFT,2017-09-13,0.0001337614,-0.004768025,-0.00480995,100
Market Model,MSFT,2016-09-14,0.0024539877,0.0113282248,0.0113263091,100
Market Model,MSFT,2011-11-15,-0.023969202,-0.010325801,-0.010364617,100
Market Model,MSFT,2016-11-17,0.0251401393,0.0221986235,0.0222956197,100
Market Model,MSFT,2015-09-17,-0.011368804,-0.001525997,-0.00145807,100
Market Model,MSFT,2013-04-18,0.0274421816,0.0449812865,0.0448347111,100
Market Model,MSFT,2008-07-18,-0.059427733,-0.066670347,-0.066797662,100
Market Model,MSFT,2015-11-18,0.0100733267,-0.011584581,-0.011699641,100
Market Model,MSFT,2012-10-18,-0.02882333,-0.010237815,-0.010225827,100
Market Model,MSFT,2013-07-19,-0.104364857,-0.113891504,-0.115329446,100
Market Model,MSFT,2019-07-19,0.0158508843,0.0141612794,0.014239633,100
Market Model,MSFT,2012-06-19,0.0303131246,0.0186824398,0.0186593635,100
Market Model,MSFT,2014-11-19,-0.009103405,-0.016181916,-0.016293951,100
Market Model,MSFT,2012-04-20,0.0314707771,0.0408793774,0.0402985744,100
Market Model,MSFT,2012-01-20,0.0531349628,0.0455781265,0.0453777909,100
Market Model,MSFT,2007-07-20,0.0087322122,0.0145917012,0.0145019379,100
Market Model,MSFT,2012-07-20,-0.038423645,-0.026707616,-0.026536846,100
Market Model,MSFT,2016-07-20,0.0340993328,0.039060128,0.0381556097,100
Market Model,MSFT,2018-07-20,0.0271118721,0.0277006174,0.0277659111,100
Market Model,MSFT,2014-05-20,0.0130554858,0.0073566042,0.0073310085,100
Market Model,MSFT,2013-11-20,0.0130384393,0.0087446285,0.008775111,100
Market Model,MSFT,2013-09-20,-0.017406963,-0.012423954,-0.012645458,100
Market Model,MSFT,2006-07-21,0.0256410256,0.0340924837,0.0333368998,100
Market Model,MSFT,2011-07-21,-0.000363108,-0.00765872,-0.00791875,100
Market Model,MSFT,2017-07-21,-0.003520173,-0.004374445,-0.004400419,100
Market Model,MSFT,2011-10-21,0.0022115739,-0.033596916,-0.033996812,100
Market Model,MSFT,2016-10-21,0.0603163567,0.0555538242,0.0561931625,100
Market Model,MSFT,2016-04-22,-0.062601187,-0.061689286,-0.06235771,100
Market Model,MSFT,2009-01-22,-0.069264069,-0.095189636,-0.100816291,100
Market Model,MSFT,2015-07-22,-0.017263427,0.0008062685,0.000062671,100
Market Model,MSFT,2010-04-23,-0.007085408,-0.014212679,-0.014297892,100
Market Model,MSFT,2010-07-23,0.0390127389,0.0020722927,0.0019343661,100
Market Model,MSFT,2014-07-23,-0.009702242,-0.017354986,-0.017378216,100
Market Model,MSFT,2020-07-23,-0.035688623,-0.027424286,-0.027791817,100
Market Model,MSFT,2017-05-23,0.0159550894,0.0055807254,0.0056058179,100
Market Model,MSFT,2009-10-23,0.079006772,0.0863852541,0.0877778112,100
Market Model,MSFT,2015-10-23,0.1493644068,0.113335161,0.118027157,100
Market Model,MSFT,2009-04-24,0.0862619808,0.0707489168,0.0688624733,100
Market Model,MSFT,2015-04-24,0.1173665232,0.1205720133,0.1218387826,100
Market Model,MSFT,2014-01-24,0.0027831895,0.0351853962,0.0344597831,100
Market Model,MSFT,2009-07-24,-0.068145161,-0.094844821,-0.096726464,100
